Order_Value,City_Tier,Payment_Type,Return_Count,Is_Verified_Mobile,Is_RTO
5669,Rural,COD,9,False,1
40718,Urban,Debit Card,6,True,0
9886,Rural,UPI,3,False,0
22012,Urban,Net Banking,3,False,0
12944,Urban,UPI,4,False,0
21858,Urban,Net Banking,10,True,0
41186,Urban,Credit Card,3,True,0
40155,Urban,COD,9,True,1
45812,Urban,COD,6,False,1
46099,Urban,Net Banking,7,True,0
33442,Urban,Credit Card,5,False,0
24326,Urban,UPI,7,True,0
33672,Urban,Net Banking,4,True,0
45618,Urban,COD,10,False,1
41065,Urban,Debit Card,7,False,0
9965,Urban,Debit Card,8,False,0
30096,Rural,UPI,1,False,0
38066,Metro City,Debit Card,4,False,0
48243,Metro City,Net Banking,6,True,0
9156,Metro City,COD,1,False,1
19334,Metro City,UPI,0,False,0
23057,Urban,Net Banking,6,True,0
35296,Metro City,COD,4,False,1
2714,Urban,Credit Card,8,False,0
641,Urban,Net Banking,8,False,0
36833,Metro City,COD,1,True,0
16788,Metro City,Debit Card,3,True,0
22401,Rural,UPI,1,False,0
754,Metro City,COD,9,False,1
20848,Rural,Net Banking,7,True,0
30100,Urban,UPI,9,True,1
43049,Rural,Debit Card,0,False,0
41136,Metro City,Debit Card,4,True,0
42464,Urban,UPI,7,False,0
26550,Urban,Debit Card,5,True,0
35756,Rural,UPI,4,True,0
30711,Metro City,Credit Card,4,False,0
32408,Urban,COD,7,True,1
5156,Metro City,COD,8,False,1
20493,Metro City,Credit Card,0,True,0
42374,Urban,Net Banking,4,False,0
613,Urban,Credit Card,3,True,0
5765,Metro City,Credit Card,8,True,0
26374,Urban,UPI,7,True,0
37451,Rural,Debit Card,4,True,0
46709,Urban,Net Banking,7,True,0
4777,Metro City,UPI,4,False,0
41212,Rural,Credit Card,1,False,0
12176,Rural,Net Banking,3,False,0
32819,Urban,Debit Card,6,True,1
36984,Metro City,Debit Card,6,True,0
28143,Metro City,Debit Card,10,True,0
15047,Rural,COD,5,True,1
28063,Rural,COD,7,True,1
24328,Rural,COD,3,True,0
39423,Urban,COD,1,True,0
26182,Metro City,COD,0,True,0
30474,Rural,COD,2,False,1
11958,Metro City,COD,9,True,1
21211,Urban,COD,3,False,0
15910,Metro City,UPI,4,True,0
41913,Urban,Net Banking,9,True,0
5140,Rural,Debit Card,0,True,0
9338,Urban,COD,4,True,1
47585,Urban,Net Banking,6,True,0
7715,Urban,UPI,0,False,0
5761,Rural,COD,9,True,1
36257,Urban,UPI,9,True,0
48659,Rural,Debit Card,2,False,0
12285,Rural,Debit Card,3,False,0
18693,Rural,UPI,6,False,0
44803,Urban,Debit Card,6,False,0
12411,Rural,UPI,4,False,0
42862,Urban,UPI,4,True,0
47050,Metro City,UPI,9,True,0
47114,Urban,COD,3,True,1
3530,Urban,UPI,10,False,0
42694,Metro City,Debit Card,3,False,0
14630,Rural,Debit Card,2,False,0
44956,Rural,Credit Card,7,False,0
16223,Urban,Debit Card,6,False,0
47826,Metro City,Net Banking,5,True,0
6249,Metro City,Credit Card,10,True,0
13193,Urban,COD,1,True,1
14515,Metro City,COD,2,True,0
11810,Rural,Credit Card,10,False,0
20643,Rural,COD,0,True,1
32221,Urban,COD,5,True,1
32766,Urban,COD,9,False,1
27274,Rural,UPI,7,False,0
8491,Urban,Net Banking,5,True,0
21720,Metro City,COD,8,False,1
19527,Metro City,UPI,9,True,0
38289,Urban,Credit Card,0,True,0
2800,Rural,COD,10,True,1
47115,Metro City,Debit Card,8,False,0
12657,Urban,COD,10,True,1
29314,Metro City,Debit Card,4,False,0
37921,Urban,COD,0,True,0
16092,Rural,COD,5,False,1
30629,Metro City,COD,8,True,1
21771,Rural,COD,8,False,1
16251,Metro City,UPI,0,False,0
40029,Metro City,Net Banking,9,True,0
18347,Urban,COD,2,False,0
34128,Metro City,Net Banking,4,False,0
14246,Urban,COD,2,True,0
21455,Metro City,UPI,10,False,0
28303,Rural,COD,9,True,1
36372,Metro City,Net Banking,1,False,0
4411,Rural,Credit Card,5,True,0
